"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\dat\fe-e_commerce_app\src\app\admin\analytics\page.tsx", "TypeScript JSX", 9, 0, 0, 0, 3, 12
"c:\Users\dat\fe-e_commerce_app\src\app\admin\customers\page.tsx", "TypeScript JSX", 9, 0, 0, 0, 3, 12
"c:\Users\dat\fe-e_commerce_app\src\app\admin\orders\page.tsx", "TypeScript JSX", 9, 0, 0, 0, 3, 12
"c:\Users\dat\fe-e_commerce_app\src\app\admin\page.tsx", "TypeScript JSX", 9, 0, 0, 0, 3, 12
"c:\Users\dat\fe-e_commerce_app\src\app\admin\products\[id]\edit\page.tsx", "TypeScript JSX", 25, 0, 0, 2, 6, 33
"c:\Users\dat\fe-e_commerce_app\src\app\admin\products\[id]\page.tsx", "TypeScript JSX", 18, 0, 0, 0, 6, 24
"c:\Users\dat\fe-e_commerce_app\src\app\admin\products\add\page.tsx", "TypeScript JSX", 16, 0, 0, 0, 3, 19
"c:\Users\dat\fe-e_commerce_app\src\app\admin\products\page.tsx", "TypeScript JSX", 9, 0, 0, 0, 3, 12
"c:\Users\dat\fe-e_commerce_app\src\app\admin\settings\page.tsx", "TypeScript JSX", 9, 0, 0, 0, 3, 12
"c:\Users\dat\fe-e_commerce_app\src\app\api\admin\analytics\route.ts", "TypeScript", 0, 104, 0, 5, 6, 115
"c:\Users\dat\fe-e_commerce_app\src\app\api\admin\customers\[id]\route.ts", "TypeScript", 0, 113, 0, 9, 19, 141
"c:\Users\dat\fe-e_commerce_app\src\app\api\admin\customers\route.ts", "TypeScript", 0, 85, 0, 6, 9, 100
"c:\Users\dat\fe-e_commerce_app\src\app\api\admin\dashboard\route.ts", "TypeScript", 0, 56, 0, 2, 3, 61
"c:\Users\dat\fe-e_commerce_app\src\app\api\auth\login\route.ts", "TypeScript", 0, 103, 0, 8, 10, 121
"c:\Users\dat\fe-e_commerce_app\src\app\api\auth\logout\route.ts", "TypeScript", 0, 21, 0, 2, 5, 28
"c:\Users\dat\fe-e_commerce_app\src\app\api\auth\refresh-token\route.ts", "TypeScript", 0, 85, 0, 7, 9, 101
"c:\Users\dat\fe-e_commerce_app\src\app\api\auth\register\route.ts", "TypeScript", 0, 109, 0, 7, 12, 128
"c:\Users\dat\fe-e_commerce_app\src\app\api\cart\[id]\route.ts", "TypeScript", 0, 72, 0, 2, 16, 90
"c:\Users\dat\fe-e_commerce_app\src\app\api\cart\add\[product_id]\route.ts", "TypeScript", 0, 38, 0, 4, 11, 53
"c:\Users\dat\fe-e_commerce_app\src\app\api\cart\route.ts", "TypeScript", 0, 74, 0, 2, 16, 92
"c:\Users\dat\fe-e_commerce_app\src\app\api\orders\[id]\confirm-delivery\route.ts", "TypeScript", 0, 42, 0, 2, 10, 54
"c:\Users\dat\fe-e_commerce_app\src\app\api\orders\[id]\route.ts", "TypeScript", 0, 110, 0, 8, 20, 138
"c:\Users\dat\fe-e_commerce_app\src\app\api\orders\[id]\update-status\route.ts", "TypeScript", 0, 43, 0, 2, 10, 55
"c:\Users\dat\fe-e_commerce_app\src\app\api\orders\cancel\[orderId]\route.ts", "TypeScript", 0, 53, 0, 5, 14, 72
"c:\Users\dat\fe-e_commerce_app\src\app\api\orders\cart\route.ts", "TypeScript", 0, 48, 0, 5, 13, 66
"c:\Users\dat\fe-e_commerce_app\src\app\api\orders\create\route.ts", "TypeScript", 0, 65, 0, 11, 16, 92
"c:\Users\dat\fe-e_commerce_app\src\app\api\orders\direct\route.ts", "TypeScript", 0, 48, 0, 5, 13, 66
"c:\Users\dat\fe-e_commerce_app\src\app\api\orders\route.ts", "TypeScript", 0, 46, 0, 4, 12, 62
"c:\Users\dat\fe-e_commerce_app\src\app\api\orders\user\route.ts", "TypeScript", 0, 50, 0, 5, 13, 68
"c:\Users\dat\fe-e_commerce_app\src\app\api\payment\create-checkout-session\route.ts", "TypeScript", 0, 90, 0, 4, 14, 108
"c:\Users\dat\fe-e_commerce_app\src\app\api\payment\create-payment-intent\route.ts", "TypeScript", 0, 59, 0, 3, 11, 73
"c:\Users\dat\fe-e_commerce_app\src\app\api\product\review\[product_id]\route.ts", "TypeScript", 0, 118, 0, 15, 23, 156
"c:\Users\dat\fe-e_commerce_app\src\app\api\products\[id]\route.ts", "TypeScript", 0, 122, 0, 23, 23, 168
"c:\Users\dat\fe-e_commerce_app\src\app\api\products\route.ts", "TypeScript", 0, 189, 0, 26, 42, 257
"c:\Users\dat\fe-e_commerce_app\src\app\api\profile\route.ts", "TypeScript", 0, 31, 0, 0, 8, 39
"c:\Users\dat\fe-e_commerce_app\src\app\api\proxy\products\[id]\reviews\route.ts", "TypeScript", 0, 21, 0, 0, 5, 26
"c:\Users\dat\fe-e_commerce_app\src\app\api\proxy\products\[id]\route.ts", "TypeScript", 0, 50, 0, 2, 8, 60
"c:\Users\dat\fe-e_commerce_app\src\app\api\proxy\products\create-reviews\[product_id]\route.ts", "TypeScript", 0, 89, 0, 13, 15, 117
"c:\Users\dat\fe-e_commerce_app\src\app\api\seller\orders\route.ts", "TypeScript", 0, 59, 0, 6, 14, 79
"c:\Users\dat\fe-e_commerce_app\src\app\api\seller\products\[id]\route.ts", "TypeScript", 0, 93, 0, 4, 24, 121
"c:\Users\dat\fe-e_commerce_app\src\app\api\seller\products\route.ts", "TypeScript", 0, 92, 0, 5, 23, 120
"c:\Users\dat\fe-e_commerce_app\src\app\api\upload\batch-presigned-url\route.ts", "TypeScript", 0, 47, 0, 4, 11, 62
"c:\Users\dat\fe-e_commerce_app\src\app\api\upload\file\route.ts", "TypeScript", 0, 50, 0, 5, 12, 67
"c:\Users\dat\fe-e_commerce_app\src\app\api\upload\presigned-url\route.ts", "TypeScript", 0, 50, 0, 4, 12, 66
"c:\Users\dat\fe-e_commerce_app\src\app\api\user\addresses\[id]\route.ts", "TypeScript", 0, 93, 0, 4, 24, 121
"c:\Users\dat\fe-e_commerce_app\src\app\api\user\addresses\route.ts", "TypeScript", 0, 92, 0, 5, 23, 120
"c:\Users\dat\fe-e_commerce_app\src\app\api\user\users\route.ts", "TypeScript", 0, 41, 0, 7, 12, 60
"c:\Users\dat\fe-e_commerce_app\src\app\api\users\[id]\route.ts", "TypeScript", 0, 113, 0, 10, 17, 140
"c:\Users\dat\fe-e_commerce_app\src\app\api\users\route.ts", "TypeScript", 0, 94, 0, 10, 15, 119
"c:\Users\dat\fe-e_commerce_app\src\app\api\vendors\register\route.ts", "TypeScript", 0, 49, 0, 3, 10, 62
"c:\Users\dat\fe-e_commerce_app\src\app\api\vendors\route.ts", "TypeScript", 0, 27, 0, 0, 5, 32
